date/time,link,type,status
Thu Apr 26 16:07:08 2018,https://github.com/locationtech/geowave/issues/1329,issue,closed
Thu Apr 26 16:07:46 2018,https://github.com/locationtech/geowave/issues/1328,comment,NA
Wed Apr 25 18:22:31 2018,https://github.com/locationtech/geowave/issues/1327,issue,closed
Wed Apr 25 17:04:09 2018,https://github.com/locationtech/geowave/issues/1326,comment,NA
Wed Apr 25 21:28:10 2018,https://github.com/locationtech/geowave/issues/1326,comment,NA
Mon Apr 30 13:10:54 2018,https://github.com/locationtech/geowave/issues/1326,comment,NA
Tue May 01 14:42:18 2018,https://github.com/locationtech/geowave/issues/1326,comment,NA
Thu May 03 11:50:29 2018,https://github.com/locationtech/geowave/issues/1326,comment,NA
Fri Apr 13 00:00:55 2018,https://github.com/locationtech/geowave/issues/1322,comment,NA
Mon Apr 16 13:47:45 2018,https://github.com/locationtech/geowave/issues/1322,comment,NA
