date_time,file,committer_name
Tue May 19  5:12:10 2020,travis-deploy.sh,henry-lp
Tue May 19  5:12:10 2020,repair-tools.md,henry-lp
Tue May 19  5:12:10 2020,repairnator-config.md,henry-lp
Tue May 19  5:12:10 2020,GitRepositoryLauncherUtils.java,henry-lp
Tue May 19  5:12:10 2020,RepairnatorConfig.java,henry-lp
Tue May 19  5:12:10 2020,pom.xml,henry-lp
Tue May 19  5:12:10 2020,pom.xml,henry-lp
Tue May 19  5:12:10 2020,PatchNotifierImpl.java,henry-lp
Tue May 19  5:12:10 2020,GitRepositoryLauncher.java,henry-lp
Tue May 19  5:12:10 2020,Launcher.java,henry-lp
Tue May 19  5:12:10 2020,LegacyLauncher.java,henry-lp
Tue May 19  5:12:10 2020,RepairToolsManager.java,henry-lp
Tue May 19  5:12:10 2020,BranchLauncher.java,henry-lp
Tue May 19  5:12:10 2020,MainProcess.java,henry-lp
Tue May 19  5:12:10 2020,MainProcessFactory.java,henry-lp
Tue May 19  5:12:10 2020,DefaultInitConfig.java,henry-lp
Tue May 19  5:12:10 2020,DefaultMainProcess.java,henry-lp
Tue May 19  5:12:10 2020,GithubDefineJSAPArgs.java,henry-lp
Tue May 19  5:12:10 2020,GithubInitConfig.java,henry-lp
Tue May 19  5:12:10 2020,GithubMainProcess.java,henry-lp
Tue May 19  5:12:10 2020,GitRepositoryProjectInspector.java,henry-lp
Tue May 19  5:12:10 2020,InspectorFactory.java,henry-lp
Tue May 19  5:12:10 2020,JenkinsProjectInspector.java,henry-lp
Tue May 19  5:12:10 2020,ProjectInspector.java,henry-lp
Tue May 19  5:12:10 2020,ProjectInspector4Bears.java,henry-lp
Tue May 19  5:12:10 2020,ProjectInspector4Checkstyle.java,henry-lp
Tue May 19  5:12:10 2020,IRunInspector.java,henry-lp
Tue May 19  5:12:10 2020,RunInspector4Bears.java,henry-lp
Tue May 19  5:12:10 2020,RunInspector4CheckStyle.java,henry-lp
Tue May 19  5:12:10 2020,RunInspector4DefaultGit.java,henry-lp
Tue May 19  5:12:10 2020,RunInspector4DefaultTravis.java,henry-lp
Tue May 19  5:12:10 2020,GitRepositoryCommitPatch.java,henry-lp
Tue May 19  5:12:10 2020,AbstractRepairStep.java,henry-lp
Tue May 19  5:12:10 2020,AssertFixerRepair.java,henry-lp
Tue May 19  5:12:10 2020,NPERepair.java,henry-lp
Tue May 19  5:12:10 2020,NPERepairSafe.java,henry-lp
Tue May 19  5:12:10 2020,SonarQubeRepair.java,henry-lp
Tue May 19  5:12:10 2020,AstorRepair.java,henry-lp
Tue May 19  5:12:10 2020,AbstractNopolRepair.java,henry-lp
Tue May 19  5:12:10 2020,SequencerRepair.java,henry-lp
Tue May 19  5:12:10 2020,InspectorSerializer.java,henry-lp
Tue May 19  5:12:10 2020,fr.inria.spirals.repairnator.process.step.repair.AbstractRepairStep,henry-lp
Tue May 19  5:12:10 2020,TestPipelinebGithubMode.java,henry-lp
Tue May 19  5:12:10 2020,TestPipelinebJenkinsMode.java,henry-lp
Tue May 19  5:12:10 2020,TestPipelinebSonarMode.java,henry-lp
Tue May 19  5:12:10 2020,TestPipelinebTravisMode.java,henry-lp
Tue May 19  5:12:10 2020,TestProjectInspector.java,henry-lp
Tue May 19  5:12:10 2020,TestProjectInspector4Bears.java,henry-lp
Tue May 19  5:12:10 2020,TestMetrics4BearsJsonFile.java,henry-lp
