date_time,file,committer_name
Tue Jan  6  3:42:55 2015,PersistenceEncoding.java,chrisbennight
Tue Jan  6  3:42:55 2015,GeometryWrapper.java,chrisbennight
Tue Jan  6  3:42:55 2015,GeometryWrapperTest.java,chrisbennight
Wed Jan  7 20:25:33 2015,PersistenceEncoding.java,chrisbennight
Wed Jan  7 20:25:33 2015,GeometryWrapper.java,chrisbennight
Wed Jan  7 20:25:33 2015,GeometryWrapperTest.java,chrisbennight
Sun Jan 11  3:21:29 2015,.gitignore,chrisbennight
Sun Jan 11  3:21:29 2015,GeoWaveDedupeJobRunner.java,chrisbennight
Sun Jan 11  3:21:29 2015,KDEJobRunner.java,chrisbennight
Sun Jan 11  3:21:29 2015,AbstractMapReduceIngest.java,chrisbennight
Sun Jan 11  3:21:29 2015,IngestFromHdfsDriver.java,chrisbennight
Sun Jan 11  3:21:29 2015,GeoWaveMapReduceIT.java,chrisbennight
Sun Jan 11 22:33:08 2015,TransformerWriter.java,chrisbennight
Sun Jan 11 22:33:08 2015,GeoWaveConfiguratorBase.java,chrisbennight
Sun Jan 11 22:33:08 2015,GeoWaveInputFormat.java,chrisbennight
Sun Jan 11 22:33:08 2015,AccumuloUtils.java,chrisbennight
Sun Jan 11 22:33:08 2015,AltIndexIngestCallback.java,chrisbennight
Sun Jan 11 22:33:08 2015,BBOXExpandingFilterVisitor.java,chrisbennight
Sun Jan 11 22:33:08 2015,HeatmapSurface.java,chrisbennight
Sun Jan 11 22:33:08 2015,OutputWriterMapper.java,chrisbennight
Sun Jan 11 22:33:08 2015,PolygonGenerationDriver.java,chrisbennight
Sun Jan 11 22:33:08 2015,AccumuloKDEReducer.java,chrisbennight
Sun Jan 11 22:33:08 2015,CellSummationReducer.java,chrisbennight
Sun Jan 11 22:33:08 2015,ComparisonAccumuloStatsReducer.java,chrisbennight
Sun Jan 11 22:33:08 2015,ComparisonCellSummationReducer.java,chrisbennight
Sun Jan 11 22:33:08 2015,ComparisonCombiningStatsReducer.java,chrisbennight
Sun Jan 11 22:33:08 2015,EvaluationVisitor.java,chrisbennight
Sun Jan 11 22:33:08 2015,ByteArrayId.java,chrisbennight
Sun Jan 11 22:33:08 2015,TemporalBinningStrategy.java,chrisbennight
Sun Jan 11 22:33:08 2015,TieredSFCIndexStrategy.java,chrisbennight
Sun Jan 11 22:33:08 2015,BasicDimensionDefinitionTest.java,chrisbennight
Sun Jan 11 22:33:08 2015,TimeDefinitionTest.java,chrisbennight
Sun Jan 11 22:33:08 2015,BinRangeTest.java,chrisbennight
Sun Jan 11 22:33:08 2015,BinValueTest.java,chrisbennight
Sun Jan 11 22:33:08 2015,BasicNumericDatasetTest.java,chrisbennight
Sun Jan 11 22:33:08 2015,StageToHdfsDriver.java,chrisbennight
Sun Jan 11 22:33:08 2015,IngestRunData.java,chrisbennight
Sun Jan 11 22:33:08 2015,Resolution.java,chrisbennight
Sun Jan 11 22:33:08 2015,RasterTileCombinerConfig.java,chrisbennight
Sun Jan 11 22:33:08 2015,NoDataMetadataFactory.java,chrisbennight
Sun Jan 11 22:33:08 2015,GeoWaveRasterReader.java,chrisbennight
Sun Jan 11 22:33:08 2015,CloseableIterator.java,chrisbennight
Sun Jan 11 22:33:08 2015,MemoryAdapterStore.java,chrisbennight
Sun Jan 11 22:33:08 2015,SpatialQueryFilter.java,chrisbennight
Sun Jan 11 22:33:08 2015,BasicIndexModel.java,chrisbennight
Sun Jan 11 22:33:08 2015,BasicQuery.java,chrisbennight
Sun Jan 11 22:33:08 2015,PersistenceEncodingTest.java,chrisbennight
Sun Jan 11 22:33:08 2015,GeoWaveMapReduceIT.java,chrisbennight
Sun Jan 11 22:33:08 2015,VectorDataStore.java,chrisbennight
Sun Jan 11 22:33:08 2015,VisibilityQueryFilter.java,chrisbennight
Sun Jan 11 22:33:08 2015,GeoWaveGTDataStore.java,chrisbennight
Sun Jan 11 22:33:08 2015,AbstractLockingManagement.java,chrisbennight
Sun Jan 11 22:33:08 2015,GeoWaveTransactionManagement.java,chrisbennight
Sun Jan 11 22:33:08 2015,CqlQueryFilterIterator.java,chrisbennight
Sun Jan 11 22:33:08 2015,SpatialDecimationQuery.java,chrisbennight
Sun Jan 11 22:33:08 2015,ServerFeatureStyle.java,chrisbennight
Sun Jan 11 22:33:08 2015,MemoryTransactionsAllocater.java,chrisbennight
Sun Jan 11 22:33:08 2015,JsonDefinitionColumnVisibilityManagementTest.java,chrisbennight
Sun Jan 11 22:33:08 2015,ZooKeeperTransactionAllocaterTest.java,chrisbennight
Sun Jan 11 22:33:08 2015,pom.xml,chrisbennight
Tue Jan 13  4:11:15 2015,VisibilityQueryFilter.java,chrisbennight
