date_time,file,committer_name
Tue May 10 15:47:20 2005,IDataModelProvider.java,cbridgha
Wed May 11 22:05:07 2005,ArtifactEdit.java,cbridgha
Mon May 16 15:41:03 2005,VirtualPathAPI.emx,cbridgha
Mon May 16 15:41:03 2005,componentCorePackage.emx,cbridgha
Mon May 16 15:41:03 2005,ArtifactEdit.java,cbridgha
Mon May 16 15:41:03 2005,ComponentCore.java,cbridgha
Mon May 16 15:41:03 2005,IEditModelHandler.java,cbridgha
Mon May 16 15:41:03 2005,ModuleCoreNature.java,cbridgha
Mon May 16 15:41:03 2005,UnresolveableURIException.java,cbridgha
Mon May 16 15:41:03 2005,ArtifactEditModel.java,cbridgha
Mon May 16 15:41:03 2005,FlexibleProject.java,cbridgha
Mon May 16 15:41:03 2005,package.html,cbridgha
Mon May 16 15:41:03 2005,package.xml,cbridgha
Mon May 16 15:41:03 2005,ComponentHandle.java,cbridgha
Mon May 16 15:41:03 2005,IFlexibleProject.java,cbridgha
Mon May 16 15:41:03 2005,IVirtualComponent.java,cbridgha
Mon May 16 15:41:03 2005,IVirtualContainer.java,cbridgha
Mon May 16 15:41:03 2005,IVirtualFile.java,cbridgha
Mon May 16 15:41:03 2005,IVirtualFolder.java,cbridgha
Mon May 16 15:41:03 2005,IVirtualReference.java,cbridgha
Mon May 16 15:41:03 2005,IVirtualResource.java,cbridgha
Mon May 16 15:41:03 2005,package.html,cbridgha
Mon May 16 15:41:03 2005,package.xml,cbridgha
Mon May 16 15:41:15 2005,IFlexibleProjectTest.java,cbridgha
Tue May 17  2:53:12 2005,ArtifactEditModel.java,cbridgha
Tue May 17  2:53:12 2005,StructureEdit.java,cbridgha
Tue May 17  2:53:12 2005,ResourceTreeNode.java,cbridgha
Tue May 17  2:53:12 2005,VirtualComponent.java,cbridgha
Tue May 17 15:35:31 2005,EditModel.java,cbridgha
Tue May 17 18:55:48 2005,AbstractDataModelProvider.java,cbridgha
Wed May 18  3:02:23 2005,ModuleCoreAPIFVTTest.java,cbridgha
Wed May 18  3:02:23 2005,IVirtualResourceAPITest.java,cbridgha
Wed May 18  3:02:33 2005,ComponentCore.java,cbridgha
Wed May 18  3:02:33 2005,ArtifactEditModel.java,cbridgha
Wed May 18  3:02:33 2005,StructureEdit.java,cbridgha
Wed May 18  3:02:33 2005,WorkbenchComponent.java,cbridgha
Wed May 18  3:02:33 2005,ResourceTreeNode.java,cbridgha
Wed May 18  3:02:33 2005,ResourceTreeRoot.java,cbridgha
Wed May 18  3:02:33 2005,WorkbenchComponentImpl.java,cbridgha
Wed May 18  3:02:33 2005,VirtualContainer.java,cbridgha
Wed May 18  3:02:33 2005,VirtualFile.java,cbridgha
Wed May 18  3:02:33 2005,VirtualResource.java,cbridgha
Wed May 18 19:38:44 2005,VirtualComponent.java,cbridgha
Wed May 18 19:38:44 2005,IVirtualComponent.java,cbridgha
Wed May 18 21:16:15 2005,VirtualResource.java,cbridgha
Thu May 19 19:06:27 2005,OperationTestCase.java,cbridgha
Thu May 19 19:06:28 2005,DataModelWizard.java,cbridgha
Thu May 19 19:06:28 2005,AbstractDataModelProvider.java,cbridgha
Thu May 19 19:06:28 2005,ExtendableOperationImpl.java,cbridgha
Thu May 19 19:06:28 2005,IComponentCreationDataModelProperties.java,cbridgha
Thu May 19 19:06:28 2005,ComponentCreationDataModelProvider.java,cbridgha
Thu May 19 20:02:44 2005,ArtifactEdit.java,cbridgha
Thu May 19 20:02:44 2005,ArtifactEditModel.java,cbridgha
Fri May 20 16:40:44 2005,StructureEdit.java,cbridgha
Fri May 20 16:40:44 2005,ArtifactEditOperationDataModel.java,cbridgha
Fri May 20 16:40:44 2005,VirtualResource.java,cbridgha
Fri May 20 16:40:44 2005,IVirtualComponent.java,cbridgha
Fri May 20 17:17:50 2005,WTPOperation.java,cbridgha
Fri May 20 17:17:50 2005,WTPOperationDataModel.java,cbridgha
Fri May 20 17:17:50 2005,WTPOperationAPITests.java,cbridgha
Fri May 20 17:17:50 2005,A.java,cbridgha
Fri May 20 17:17:50 2005,AbstractTestOperation.java,cbridgha
Fri May 20 17:17:50 2005,B.java,cbridgha
Fri May 20 17:17:50 2005,C.java,cbridgha
Fri May 20 17:17:50 2005,D.java,cbridgha
Fri May 20 17:17:50 2005,E.java,cbridgha
Fri May 20 17:17:50 2005,F.java,cbridgha
Fri May 20 17:17:50 2005,OpTests.java,cbridgha
Fri May 20 17:17:50 2005,R.java,cbridgha
Fri May 20 17:17:50 2005,RootDM.java,cbridgha
Fri May 20 17:17:50 2005,plugin.xml,cbridgha
Sat May 21 17:45:17 2005,PluginRendererFactoryDefaultHandler.java,cbridgha
Sat May 21 17:45:17 2005,EMF2DOMAdapterImpl.java,cbridgha
Sat May 21 17:45:17 2005,EMF2DOMRenderer.java,cbridgha
Sat May 21 17:45:17 2005,EMF2SAXRenderer.java,cbridgha
Sat May 21 17:45:17 2005,DOMUtilities.java,cbridgha
Sat May 21 17:45:17 2005,plugin.xml,cbridgha
Sat May 21 17:45:17 2005,EmfValidationHandler.java,cbridgha
Sat May 21 17:45:17 2005,WorkbenchResourceHelper.java,cbridgha
Sat May 21 17:45:17 2005,ClientAccessRegistry.java,cbridgha
Sat May 21 17:45:17 2005,EditModelExtensionRegistry.java,cbridgha
Sat May 21 17:45:17 2005,EditModelRegistry.java,cbridgha
Sat May 21 17:45:17 2005,DynamicAdapterFactory.java,cbridgha
Sat May 21 17:45:17 2005,DataObjectGenerator.java,cbridgha
Sat May 21 17:45:17 2005,DataObjectGeneratorModel.java,cbridgha
Sat May 21 17:45:17 2005,EditModelOperationDataModel.java,cbridgha
Sat May 21 17:45:17 2005,ResourceStateValidator.java,cbridgha
Sat May 21 17:45:17 2005,ResourceStateValidatorImpl.java,cbridgha
Sat May 21 17:45:17 2005,DataModelWizardExtensionReader.java,cbridgha
Sat May 21 17:45:17 2005,ExtensibleViewRegistry.java,cbridgha
Sat May 21 17:45:17 2005,MasterDescriptor.java,cbridgha
Sat May 21 17:45:17 2005,SlaveDescriptor.java,cbridgha
Sat May 21 17:45:17 2005,WizardPageElement.java,cbridgha
Sat May 21 17:45:17 2005,WizardPageExtensionManager.java,cbridgha
Sat May 21 17:45:17 2005,RunnableWithProgressWrapper.java,cbridgha
Sat May 21 17:45:17 2005,Timer.java,cbridgha
Sat May 21 17:45:17 2005,WTPOperationAction.java,cbridgha
Sat May 21 17:45:17 2005,WTPWizard.java,cbridgha
Sat May 21 17:45:17 2005,ValidationSelectionHandlerRegistryReader.java,cbridgha
Sat May 21 17:45:17 2005,EnablementManager.java,cbridgha
Sat May 21 17:45:17 2005,FunctionGroup.java,cbridgha
Sat May 21 17:45:17 2005,FunctionGroupRegistry.java,cbridgha
Sat May 21 17:45:17 2005,FailSafeComposedOperation.java,cbridgha
Sat May 21 17:45:17 2005,OperationExtensibilityReader.java,cbridgha
Sat May 21 17:45:17 2005,OperationExtensionReader.java,cbridgha
Sat May 21 17:45:17 2005,OperationExtensionRegistry.java,cbridgha
Sat May 21 17:45:17 2005,WTPOperationJobAdapter.java,cbridgha
Sat May 21 17:45:17 2005,IProjectComponentsBuilderDataModelProperties.java,cbridgha
Sat May 21 17:45:17 2005,IReferencedComponentBuilderDataModelProperties.java,cbridgha
Sat May 21 17:45:17 2005,IWorkbenchComponentBuilderDataModelProperties.java,cbridgha
Sat May 21 17:45:17 2005,ComponentResource.java,cbridgha
Sat May 21 17:45:17 2005,ModuleStructuralModel.java,cbridgha
Sat May 21 17:45:17 2005,ReferencedComponent.java,cbridgha
Sat May 21 17:45:17 2005,ComponentcoreFactoryImpl.java,cbridgha
Sat May 21 17:45:17 2005,ComponentcorePackageImpl.java,cbridgha
Sat May 21 17:45:17 2005,PlatformURLModuleConnection.java,cbridgha
Sat May 21 17:45:17 2005,ResourceTreeNode.java,cbridgha
Sat May 21 17:45:17 2005,WTPEntityResolver.java,cbridgha
Sat May 21 17:45:17 2005,WTPModulesResource.java,cbridgha
Sat May 21 17:45:17 2005,ArtifactEditOperation.java,cbridgha
Sat May 21 17:45:17 2005,ArtifactEditOperationDataModel.java,cbridgha
Sat May 21 17:45:17 2005,ArtifactEditOperationDataModelProvider.java,cbridgha
Sat May 21 17:45:17 2005,VirtualContainer.java,cbridgha
Sat May 21 17:45:17 2005,VirtualFile.java,cbridgha
Sat May 21 17:45:17 2005,ArtifactEditAdapterFactory.java,cbridgha
Sat May 21 17:45:17 2005,ComponentcoreAdapterFactory.java,cbridgha
Sat May 21 17:45:17 2005,ComponentcoreSwitch.java,cbridgha
Sat May 21 17:45:17 2005,EclipseResourceAdapter.java,cbridgha
Sat May 21 17:45:17 2005,WTPModulesTranslator.java,cbridgha
Sat May 21 17:45:17 2005,ValidationMenuAction.java,cbridgha
Sat May 21 17:45:17 2005,RunnableWithProgressWrapper.java,cbridgha
Sat May 21 17:45:17 2005,ValidationUIPlugin.java,cbridgha
Sat May 21 17:45:17 2005,GlobalConfiguration.java,cbridgha
Sat May 21 17:45:17 2005,InternalValidatorManager.java,cbridgha
Sat May 21 17:45:17 2005,ReferencialFileValidatorExtension.java,cbridgha
Sat May 21 17:45:17 2005,VThreadManager.java,cbridgha
Sat May 21 17:45:17 2005,ValidationConfiguration.java,cbridgha
Sat May 21 17:45:17 2005,AllValidatorsOperation.java,cbridgha
Sat May 21 17:45:17 2005,ValidationUtility.java,cbridgha
Sat May 21 17:45:17 2005,ValidatorManager.java,cbridgha
Sat May 21 17:45:17 2005,ValidatorSubsetOperation.java,cbridgha
Sat May 21 17:45:17 2005,IMessageAccess.java,cbridgha
Sat May 21 17:45:17 2005,IValidationContext.java,cbridgha
Sat May 21 17:45:19 2005,ArtifactEditAPITests.java,cbridgha
Sat May 21 17:45:19 2005,IEditModelHandlerTest.java,cbridgha
Sat May 21 17:45:19 2005,IFlexibleProjectTest.java,cbridgha
Sat May 21 17:45:19 2005,ModuleCoreAPIFVTTest.java,cbridgha
Sat May 21 17:45:19 2005,ModuleCoreNatureAPITest.java,cbridgha
Sat May 21 17:45:19 2005,WTPOperationAPITests.java,cbridgha
Tue May 24 22:25:57 2005,WTPOperation.java,cbridgha
Tue May 24 22:25:57 2005,WTPOperationDataModel.java,cbridgha
Tue May 24 22:25:57 2005,WTPOperationDataModelEvent.java,cbridgha
Tue May 24 22:25:57 2005,WTPOperationDataModelListener.java,cbridgha
Tue May 24 22:25:57 2005,WTPPropertyDescriptor.java,cbridgha
Tue May 24 22:25:57 2005,ArtifactEditOperationDataModel.java,cbridgha
Tue May 24 22:25:57 2005,ComponentCreationDataModel.java,cbridgha
Tue May 24 22:25:57 2005,ComponentCreationOperation.java,cbridgha
Wed May 25 21:46:21 2005,ArtifactEditOperationDataModel.java,cbridgha
Wed May 25 21:46:21 2005,ComponentCreationOperationEx.java,cbridgha
Wed May 25 21:48:40 2005,ArtifactEditModel.java,cbridgha
Thu May 26 19:11:11 2005,DataModelImpl.java,cbridgha
Thu May 26 21:56:58 2005,DataModelImpl.java,cbridgha
Tue May 31  6:35:19 2005,ArtifactEdit.java,cbridgha
