date_time,file,committer_name
Tue Sep  4 18:47:14 2018,.travis.yml,rfecher
Tue Sep  4 18:47:14 2018,NullList.java,rfecher
Tue Sep  4 18:47:14 2018,pom.xml,rfecher
Tue Sep  4 18:47:14 2018,GeoWaveIndexedRDD.java,rfecher
Tue Sep  4 18:47:14 2018,SparkSqlCommand.java,rfecher
Tue Sep  4 18:47:14 2018,SparkSqlOptions.java,rfecher
Tue Sep  4 18:47:14 2018,pom.xml,rfecher
Tue Sep  4 18:47:14 2018,pom.xml,rfecher
Tue Sep  4 18:47:14 2018,ByteArrayUtils.java,rfecher
Tue Sep  4 18:47:14 2018,BasicBinningStrategy.java,rfecher
Tue Sep  4 18:47:14 2018,pom.xml,rfecher
Tue Sep  4 18:47:14 2018,IngestUtils.java,rfecher
Tue Sep  4 18:47:14 2018,AbstractLocalIngestWithMapper.java,rfecher
Tue Sep  4 18:47:14 2018,AbstractLocalFileDriver.java,rfecher
Tue Sep  4 18:47:14 2018,ListPluginsCommand.java,rfecher
Tue Sep  4 18:47:14 2018,SparkIngestDriver.java,rfecher
Tue Sep  4 18:47:14 2018,DefaultGeoWaveAWSCredentialsProviderTest.java,rfecher
Tue Sep  4 18:47:14 2018,pom.xml,rfecher
Tue Sep  4 18:47:14 2018,DefaultGeoWaveAWSCredentialsProvider.java,rfecher
Tue Sep  4 18:47:14 2018,GeoWaveAmazonS3Factory.java,rfecher
Tue Sep  4 18:47:14 2018,S3URLConnection.java,rfecher
Tue Sep  4 18:47:14 2018,GeoWaveRecordReader.java,rfecher
Tue Sep  4 18:47:14 2018,pom.xml,rfecher
Tue Sep  4 18:47:14 2018,pom.xml,rfecher
Tue Sep  4 18:47:14 2018,JsonFileAuthorizationProvider.java,rfecher
Tue Sep  4 18:47:14 2018,pom.xml,rfecher
Tue Sep  4 18:47:14 2018,FeatureAdapterPersistableRegistry.java,rfecher
Tue Sep  4 18:47:14 2018,CQLDelete.java,rfecher
Tue Sep  4 18:47:14 2018,AbstractSecondaryIndexConfiguration.java,rfecher
Tue Sep  4 18:47:14 2018,SimpleFeaturePrimaryIndexConfiguration.java,rfecher
Tue Sep  4 18:47:14 2018,GeoWaveFeatureReader.java,rfecher
Tue Sep  4 18:47:14 2018,VisibilityConfiguration.java,rfecher
Tue Sep  4 18:47:14 2018,FeatureCountMinSketchStatistics.java,rfecher
Tue Sep  4 18:47:14 2018,FeatureFixedBinNumericStatistics.java,rfecher
Tue Sep  4 18:47:14 2018,FeatureHyperLogLogStatistics.java,rfecher
Tue Sep  4 18:47:14 2018,FeatureNumericHistogramStatistics.java,rfecher
Tue Sep  4 18:47:14 2018,FeatureNumericRangeStatistics.java,rfecher
Tue Sep  4 18:47:14 2018,StatsConfig.java,rfecher
Tue Sep  4 18:47:14 2018,StatsConfigurationCollection.java,rfecher
Tue Sep  4 18:47:14 2018,SimpleFeatureUserDataConfiguration.java,rfecher
Tue Sep  4 18:47:14 2018,SimpleFeatureUserDataConfigurationSet.java,rfecher
Tue Sep  4 18:47:14 2018,TimeDescriptors.java,rfecher
Tue Sep  4 18:47:14 2018,AbstractGeoWaveQuery.java,rfecher
Tue Sep  4 18:47:14 2018,BBOXQuery.java,rfecher
Tue Sep  4 18:47:14 2018,MinimalFullTable.java,rfecher
Tue Sep  4 18:47:14 2018,pom.xml,rfecher
Tue Sep  4 18:47:14 2018,WRS2GeometryStore.java,rfecher
Tue Sep  4 18:47:14 2018,DownloadRunnerTest.java,rfecher
Tue Sep  4 18:47:14 2018,StageOSMToHDFSCommand.java,rfecher
Tue Sep  4 18:47:14 2018,pom.xml,rfecher
Tue Sep  4 18:47:14 2018,Tests.java,rfecher
Tue Sep  4 18:47:14 2018,MiniAccumuloClusterFactory.java,rfecher
Tue Sep  4 18:47:14 2018,AccumuloMetadataReader.java,rfecher
Tue Sep  4 18:47:14 2018,pom.xml,rfecher
Tue Sep  4 18:47:14 2018,CassandraMetadataDeleter.java,rfecher
Tue Sep  4 18:47:14 2018,CassandraOperations.java,rfecher
Tue Sep  4 18:47:14 2018,DynamoDBMetadataDeleter.java,rfecher
Tue Sep  4 18:47:14 2018,DynamoDBMetadataReader.java,rfecher
Tue Sep  4 18:47:14 2018,DynamoDBOperations.java,rfecher
Tue Sep  4 18:47:14 2018,DynamoDBReader.java,rfecher
Tue Sep  4 18:47:14 2018,pom.xml,rfecher
Tue Sep  4 18:47:14 2018,HBaseMiniCluster.java,rfecher
Tue Sep  4 18:47:14 2018,HBaseSection.java,rfecher
Tue Sep  4 18:47:14 2018,AggregationEndpoint.java,rfecher
Tue Sep  4 18:47:14 2018,VersionEndpoint.java,rfecher
Tue Sep  4 18:47:14 2018,SingleEntryFilter.java,rfecher
Tue Sep  4 18:47:14 2018,HBaseMetadataReader.java,rfecher
Tue Sep  4 18:47:14 2018,HBaseOperations.java,rfecher
Tue Sep  4 18:47:14 2018,pom.xml,rfecher
Tue Sep  4 18:47:14 2018,pom.xml,rfecher
Tue Sep  4 18:47:14 2018,pom.xml,rfecher
Tue Sep  4 18:47:14 2018,.gitignore,rfecher
Tue Sep  4 18:47:14 2018,pom.xml,rfecher
Tue Sep  4 18:47:14 2018,GeoWaveGrpcOperationParser.java,rfecher
Tue Sep  4 18:47:14 2018,GeowaveOperationGrpcGenerator.java,rfecher
Tue Sep  4 18:47:14 2018,.gitignore,rfecher
Tue Sep  4 18:47:14 2018,pom.xml,rfecher
Tue Sep  4 18:47:14 2018,GeoWaveVector.proto,rfecher
Tue Sep  4 18:47:14 2018,pom.xml,rfecher
Tue Sep  4 18:47:14 2018,GeoWaveGrpcServer.java,rfecher
Tue Sep  4 18:47:14 2018,GeoWaveGrpcServiceOptions.java,rfecher
Tue Sep  4 18:47:14 2018,GeoWaveGrpcServiceSpi.java,rfecher
