date_time,file,committer_name
Thu Mar 29 17:17:45 2007,UMLUtil.java,khussey
Fri Mar 30 15:02:55 2007,ItemProvider.java,khussey
Fri Mar 30 15:25:40 2007,UML.ecore,khussey
Fri Mar 30 15:25:40 2007,UML.emx,khussey
Fri Mar 30 15:25:40 2007,UML.genmodel,khussey
Fri Mar 30 15:25:40 2007,UML.merged.uml,khussey
Fri Mar 30 15:25:40 2007,UML.uml,khussey
Fri Mar 30 15:25:40 2007,Profile.java,khussey
Fri Mar 30 15:25:40 2007,ProfileImpl.java,khussey
Fri Mar 30 15:25:40 2007,uml.ecore,khussey
Fri Mar 30 15:25:40 2007,ProfileOperations.java,khussey
Fri Mar 30 15:26:06 2007,ProfileTest.java,khussey
Fri Mar 30 15:26:07 2007,UMLEditor.java,khussey
Fri Mar 30 17:04:13 2007,ItemProvider.java,khussey
Fri Mar 30 17:04:13 2007,insert.javajetinc,khussey
Fri Mar 30 18:17:33 2007,SubsetSupersetEObjectEList.java,khussey
Fri Mar 30 18:19:35 2007,BehaviorItemProvider.java,khussey
Fri Mar 30 18:20:25 2007,Superstructure.emx,khussey
Fri Mar 30 18:20:25 2007,Superstructure.uml,khussey
Fri Mar 30 18:20:25 2007,UML.ecore,khussey
Fri Mar 30 18:20:25 2007,UML.genmodel,khussey
Fri Mar 30 18:20:25 2007,UML.merged.uml,khussey
Fri Mar 30 18:20:25 2007,Behavior.java,khussey
Fri Mar 30 18:20:25 2007,UMLPackage.java,khussey
Fri Mar 30 18:20:25 2007,ActivityImpl.java,khussey
Fri Mar 30 18:20:25 2007,BehaviorImpl.java,khussey
Fri Mar 30 18:20:25 2007,InteractionImpl.java,khussey
Fri Mar 30 18:20:25 2007,ProtocolStateMachineImpl.java,khussey
Fri Mar 30 18:20:25 2007,StateMachineImpl.java,khussey
Fri Mar 30 18:20:25 2007,uml.ecore,khussey
Fri Mar 30 18:42:31 2007,UML2Util.java,khussey
Fri Mar 30 19:21:08 2007,CommentItemProvider.java,khussey
Fri Mar 30 19:21:08 2007,OpaqueExpressionItemProvider.java,khussey
Wed Apr  4  3:15:12 2007,DerivedEObjectEList.java,khussey
Wed Apr  4  3:15:12 2007,DerivedSubsetEObjectEList.java,khussey
Wed Apr  4  3:15:12 2007,DerivedUnionEObjectEList.java,khussey
Wed Apr  4  3:15:12 2007,SubsetSupersetEObjectEList.java,khussey
Wed Apr  4  3:15:12 2007,UnionEObjectEList.java,khussey
Wed Apr  4 22:16:25 2007,Ecore2UMLConverterOptionsDialog.java,khussey
Wed Apr  4 22:16:25 2007,UML2EcoreConverterOptionsDialog.java,khussey
Wed Apr  4 22:16:25 2007,plugin.properties,khussey
Wed Apr  4 22:16:25 2007,UMLExporterOptionsPage.java,khussey
Wed Apr  4 22:16:27 2007,plugin.properties,khussey
Wed Apr  4 22:16:27 2007,ProfileOperations.java,khussey
Wed Apr  4 22:16:27 2007,UMLUtil.java,khussey
Wed Apr  4 22:16:27 2007,plugin.properties,khussey
Wed Apr  4 22:16:27 2007,UMLImporter.java,khussey
Wed Apr  4 22:16:27 2007,UMLImporterApplication.java,khussey
Wed Apr  4 22:16:27 2007,UMLImporterDetailPage.java,khussey
Thu Apr  5  2:36:08 2007,StereotypeApplicationItemProvider.java,khussey
Thu Apr  5  2:36:08 2007,UMLItemPropertyDescriptor.java,khussey
Thu Apr  5  5:03:53 2007,plugin.properties,khussey
Thu Apr  5  5:03:53 2007,UMLImporterApplication.java,khussey
Thu Apr  5  5:03:53 2007,UMLImporterPlugin.java,khussey
Thu Apr  5  5:03:53 2007,UMLImporterDetailPage.java,khussey
Thu Apr  5  5:03:55 2007,plugin.properties,khussey
Thu Apr  5  5:03:55 2007,UMLExporterPlugin.java,khussey
Thu Apr  5  5:03:55 2007,UMLExporterOptionsPage.java,khussey
Thu Apr  5  5:04:41 2007,UML.genmodel,khussey
Thu Apr  5  5:04:41 2007,plugin.properties,khussey
Thu Apr  5  5:04:41 2007,ProfileOperations.java,khussey
Thu Apr  5  5:04:41 2007,UMLUtil.java,khussey
Thu Apr  5  5:04:46 2007,plugin.properties,khussey
Thu Apr  5  5:04:46 2007,UMLEditorPlugin.java,khussey
Thu Apr  5  5:04:46 2007,DefineProfileAction.java,khussey
Thu Apr  5  5:04:46 2007,OptionsDialog.java,khussey
