date_time,file,committer_name
Fri Sep 30 13:49:32 2005,ExternalizeStringsWizardPage.java,janeklb
Fri Sep 30 14:03:52 2005,ModelChangeElement.java,janeklb
Fri Sep 30 14:03:52 2005,ManifestHeader.java,janeklb
Fri Sep 30 15:18:02 2005,ExternalizeStringsWizardPage.java,janeklb
Fri Sep 30 18:16:08 2005,LogView.java,janeklb
Fri Sep 30 18:34:10 2005,LogView.java,janeklb
Fri Sep 30 18:34:40 2005,LaunchListener.java,janeklb
Mon Oct  3 22:41:29 2005,OverviewPage.java,janeklb
Mon Oct  3 22:41:29 2005,RequiredExecutionEnvironmentSection.java,janeklb
Mon Oct  3 22:41:29 2005,Bundle.java,janeklb
Mon Oct  3 22:41:29 2005,RequiredExecutionEnvironmentHeader.java,janeklb
Tue Oct  4  2:20:57 2005,OverviewPage.java,janeklb
Tue Oct  4  2:20:57 2005,RequiredExecutionEnvironmentSection.java,janeklb
Tue Oct  4  2:56:24 2005,RequiredExecutionEnvironmentSection.java,janeklb
Tue Oct  4  2:56:24 2005,RequiredExecutionEnvironmentHeader.java,janeklb
Tue Oct  4 15:04:29 2005,pderesources.properties,janeklb
Tue Oct  4 15:04:29 2005,ProductExportWizardPage.java,janeklb
Tue Oct  4 16:21:22 2005,FragmentGeneralInfoSection.java,janeklb
Tue Oct  4 16:21:22 2005,RequiredExecutionEnvironmentSection.java,janeklb
Tue Oct  4 16:32:18 2005,RequiredExecutionEnvironmentHeader.java,janeklb
Tue Oct  4 20:21:05 2005,BundleErrorReporter.java,janeklb
Wed Oct  5 13:53:43 2005,PDEMessages.java,janeklb
Wed Oct  5 13:53:43 2005,BundleErrorReporter.java,janeklb
Wed Oct  5 13:53:44 2005,BundleErrorReporter.java,janeklb
Wed Oct  5 13:53:44 2005,pderesources.properties,janeklb
Wed Oct  5 15:26:56 2005,NewLibraryPluginCreationPage.java,janeklb
Wed Oct  5 16:21:36 2005,NewLibraryPluginCreationOperation.java,janeklb
Fri Oct  7 13:31:39 2005,ModelChangeElement.java,janeklb
Wed Oct 12 21:28:35 2005,PatternConstructor.java,janeklb
Thu Oct 13 20:38:37 2005,plugin.xml,janeklb
Thu Oct 13 20:38:37 2005,PDEUIMessages.java,janeklb
Thu Oct 13 20:38:37 2005,pderesources.properties,janeklb
Thu Oct 13 20:38:37 2005,ClassSearchParticipant.java,janeklb
Thu Oct 13 20:38:37 2005,SearchMatchPresentation.java,janeklb
Thu Oct 13 21:15:11 2005,BundleErrorReporter.java,janeklb
Thu Oct 13 21:15:11 2005,PDEMarkerFactory.java,janeklb
Thu Oct 13 21:19:03 2005,PDEUIMessages.java,janeklb
Thu Oct 13 21:19:03 2005,AbstractPDEMarkerResolution.java,janeklb
Thu Oct 13 21:19:03 2005,CreateJREBundleHeaderResolution.java,janeklb
Thu Oct 13 21:19:03 2005,ManifestHeaderErrorResolution.java,janeklb
Thu Oct 13 21:19:03 2005,RenameAutostartResolution.java,janeklb
Thu Oct 13 21:19:03 2005,ResolutionGenerator.java,janeklb
Thu Oct 13 21:19:03 2005,pderesources.properties,janeklb
Fri Oct 14 15:23:34 2005,ClassSearchParticipant.java,janeklb
Fri Oct 14 15:44:40 2005,PDEPluginImages.java,janeklb
Fri Oct 14 15:44:40 2005,ClassSearchParticipant.java,janeklb
Fri Oct 14 15:44:40 2005,SearchHit.java,janeklb
