date_time,file,committer_name
Fri May 18  7:38:31 2007,TasksUiImages.java,mkersten
Fri May 18  7:38:31 2007,AbstractMylarFilteredTree.java,mkersten
Fri May 18  7:38:31 2007,AdaptiveRefreshPolicy.java,mkersten
Fri May 18  7:38:31 2007,TaskListFilteredTree.java,mkersten
Fri May 18  7:38:34 2007,CommonNavigatorFilterBar.java,mkersten
Mon May 21 22:43:00 2007,AdaptiveRefreshPolicy.java,mkersten
Mon May 21 22:44:44 2007,AdaptiveRefreshPolicy.java,mkersten
Tue May 22 20:48:13 2007,DefaultPreferenceConfigTest.java,mkersten
Tue May 22 20:48:23 2007,plugin.xml,mkersten
Tue May 22 20:48:23 2007,PlanningPerspectiveFactory.java,mkersten
Tue May 22 20:48:23 2007,TaskPlanningEditor.java,mkersten
Tue May 22 20:48:23 2007,TasksUiPlugin.java,mkersten
Tue May 22 20:48:47 2007,MANIFEST.MF,mkersten
Tue May 22 20:48:47 2007,ContextParsingTest.java,mkersten
Tue May 22 20:48:47 2007,DataOverviewCollectorTest.java,mkersten
Tue May 22 20:48:47 2007,InteractionEventExternalizationTest.java,mkersten
Tue May 22 20:48:47 2007,MonitorPackagingTest.java,mkersten
Tue May 22 20:48:47 2007,MonitorTestsPlugin.java,mkersten
Tue May 22 20:48:47 2007,StatisticsReportingTest.java,mkersten
Tue May 22 20:48:47 2007,FileDisplayDialogTest.java,mkersten
Tue May 22 20:48:47 2007,MANIFEST.MF,mkersten
Tue May 22 20:48:47 2007,AbstractUserInteractionMonitor.java,mkersten
Tue May 22 20:48:47 2007,ActivityContextManager.java,mkersten
Tue May 22 20:48:47 2007,MonitorUiPlugin.java,mkersten
Tue May 22 20:48:47 2007,WorkbenchUserActivityMonitor.java,mkersten
Tue May 22 20:48:47 2007,AbstractPartTracker.java,mkersten
Tue May 22 20:48:47 2007,ActionExecutionMonitor.java,mkersten
Tue May 22 20:48:47 2007,ActivityChangeMonitor.java,mkersten
Tue May 22 20:48:47 2007,BrowserMonitor.java,mkersten
Tue May 22 20:48:47 2007,KeybindingCommandMonitor.java,mkersten
Tue May 22 20:48:47 2007,MenuCommandMonitor.java,mkersten
Tue May 22 20:48:47 2007,PerspectiveChangeMonitor.java,mkersten
Tue May 22 20:48:47 2007,PreferenceChangeMonitor.java,mkersten
Tue May 22 20:48:47 2007,WindowChangeMonitor.java,mkersten
Tue May 22 20:48:51 2007,ContextUiPlugin.java,mkersten
Tue May 22 20:48:51 2007,ContextPerspectiveManager.java,mkersten
Tue May 22 20:48:51 2007,AbstractFocusViewAction.java,mkersten
Tue May 22 20:48:51 2007,MylarIdePlugin.java,mkersten
Tue May 22 20:48:51 2007,MylarJavaPlugin.java,mkersten
Tue May 22 20:48:51 2007,MylarResourcesPlugin.java,mkersten
Wed May 23  1:47:31 2007,EditorBusyIndicator.java,mkersten
Wed May 23  2:30:47 2007,TaskElementLabelProvider.java,mkersten
Wed May 23  4:05:59 2007,AbstractRepositoryTaskEditor.java,mkersten
Wed May 23 17:36:54 2007,TasksUiImages.java,mkersten
Wed May 23 17:36:54 2007,MarkTaskUnreadAction.java,mkersten
Wed May 23 17:36:54 2007,RepositorySearchResultView.java,mkersten
Wed May 23 17:36:54 2007,CustomTaskListDecorationDrawer.java,mkersten
Wed May 23 17:36:54 2007,TaskElementLabelProvider.java,mkersten
Wed May 23 17:36:54 2007,TaskListView.java,mkersten
Wed May 23 17:36:54 2007,TaskTableLabelProvider.java,mkersten
Thu May 24 18:04:25 2007,TaskListNotificationPopup.java,mkersten
Thu May 24 18:09:10 2007,TasksUiPlugin.java,mkersten
Thu May 24 19:46:35 2007,TasksUiPlugin.java,mkersten
Fri May 25 22:26:00 2007,CompositeContextElement.java,mkersten
Sun May 27  5:49:28 2007,ChangeDataDirTest.java,mkersten
Sun May 27  5:49:28 2007,TaskListFilterTest.java,mkersten
Sun May 27  5:51:06 2007,ContextParsingTest.java,mkersten
Sun May 27  5:51:06 2007,MonitorTest.java,mkersten
Sun May 27  5:51:06 2007,AbstractUserInteractionMonitor.java,mkersten
Sun May 27  5:51:06 2007,ActivityContextManager.java,mkersten
Sun May 27  5:51:06 2007,ShellLifecycleListener.java,mkersten
Sun May 27  5:51:25 2007,TaskActivityTest.java,mkersten
Sun May 27  5:51:25 2007,TaskDataExportTest.java,mkersten
Sun May 27  5:51:25 2007,TaskDataImportTest.java,mkersten
Sun May 27  5:51:25 2007,TaskList06DataMigrationTest.java,mkersten
Sun May 27  5:51:25 2007,InProgressTaskCollector.java,mkersten
