date_time,file,committer_name
Mon May 10 15:51:35 2010,DependencyGraphImpl.java,jsholl
Mon May 10 15:51:35 2010,DependencyGraphImpl.properties,jsholl
Mon May 10 17:44:59 2010,AbstractResourceListVirtualComponent.java,jsholl
Wed May 12 22:33:45 2010,ReferenceResolverUtil.java,jsholl
Wed May 12 22:47:45 2010,ResourceSetWorkbenchSynchronizer.java,jsholl
Wed May 19 14:30:31 2010,VirtualContainer.java,jsholl
Wed May 26 18:13:37 2010,plugin.properties,jsholl
Wed May 26 18:13:37 2010,plugin.xml,jsholl
Wed May 26 18:13:37 2010,IJstCommonUIConstants.java,jsholl
Wed May 26 18:13:37 2010,Messages.java,jsholl
Wed May 26 18:13:37 2010,ExternalJarReferenceWizardFragment.java,jsholl
Wed May 26 18:13:37 2010,JarReferenceWizardFragment.java,jsholl
Wed May 26 18:13:37 2010,VariableReferenceWizardFragment.java,jsholl
Wed May 26 18:13:37 2010,messages.properties,jsholl
Wed May 26 18:13:37 2010,plugin.properties,jsholl
Wed May 26 18:13:37 2010,plugin.xml,jsholl
Wed May 26 18:13:37 2010,FolderMappingWizardFragment.java,jsholl
Wed May 26 18:13:37 2010,ProjectReferenceWizardFragment.java,jsholl
Wed May 26 18:13:37 2010,AddModuleDependenciesPropertiesPage.java,jsholl
