date_time,file,committer_name
Mon Dec  5 17:14:07 2016,StreamingSegmentBytes.scala,jbouffard
Mon Dec  5 17:14:29 2016,SinglebandGeoTiff.scala,jbouffard
Mon Dec  5 17:14:41 2016,MultibandGeoTiff.scala,jbouffard
Mon Dec  5 17:15:18 2016,GeoTiffReader.scala,jbouffard
Mon Dec  5 17:15:47 2016,Int16GeoTiffTile.scala,jbouffard
Mon Dec  5 17:16:05 2016,UByteGeoTiffTile.scala,jbouffard
Mon Dec  5 17:16:21 2016,Int32GeoTiffTile.scala,jbouffard
Mon Dec  5 17:16:42 2016,StreamingSegmentBytesSpec.scala,jbouffard
Tue Dec  6 13:56:59 2016,ByteGeoTiffTile.scala,jbouffard
Tue Dec  6 13:57:24 2016,UInt16GeoTiffTile.scala,jbouffard
Tue Dec  6 13:57:38 2016,UInt32GeoTiffTile.scala,jbouffard
Tue Dec  6 13:57:55 2016,Float32GeoTiffTile.scala,jbouffard
Tue Dec  6 13:58:10 2016,Float64GeoTiffTile.scala,jbouffard
Tue Dec  6 13:58:57 2016,ArraySegmentBytes.scala,jbouffard
Tue Dec  6 13:59:40 2016,LazySegmentBytes.scala,jbouffard
Tue Dec  6 14:00:14 2016,SegmentBytes.scala,jbouffard
Tue Dec  6 14:01:37 2016,Int16GeoTiffTile.scala,jbouffard
Tue Dec  6 14:01:37 2016,UByteGeoTiffTile.scala,jbouffard
Tue Dec  6 14:02:23 2016,StreamingSegmentBytes.scala,jbouffard
Tue Dec  6 14:03:08 2016,SegmentBytesSpec.scala,jbouffard
Tue Dec  6 14:14:38 2016,StreamingSegmentBytes.scala,jbouffard
Tue Dec  6 14:15:15 2016,StreamingSegmentBytesSpec.scala,jbouffard
Tue Dec  6 15:24:08 2016,MergeQueue.scala,jbouffard
Tue Dec  6 15:24:52 2016,CassandraCollectionReader.scala,jbouffard
Tue Dec  6 15:24:52 2016,CassandraRDDReader.scala,jbouffard
Tue Dec  6 15:24:52 2016,HBaseCollectionReader.scala,jbouffard
Tue Dec  6 15:24:52 2016,HBaseRDDReader.scala,jbouffard
Tue Dec  6 15:24:52 2016,S3CollectionReader.scala,jbouffard
Tue Dec  6 15:24:52 2016,S3RDDReader.scala,jbouffard
Tue Dec  6 15:24:52 2016,FileCollectionReader.scala,jbouffard
Tue Dec  6 15:24:52 2016,FileRDDReader.scala,jbouffard
Tue Dec  6 15:24:52 2016,FilterMapFileInputFormat.scala,jbouffard
Tue Dec  6 15:24:52 2016,Z2.scala,jbouffard
Tue Dec  6 15:24:52 2016,Z3.scala,jbouffard
Tue Dec  6 17:21:49 2016,StreamingSegmentBytes.scala,jbouffard
Tue Dec  6 17:22:54 2016,ByteReaderExtensions.scala,jbouffard
Tue Dec  6 19:27:48 2016,ByteReaderExtensions.scala,jbouffard
Tue Dec  6 19:28:18 2016,TiffTagsReader.scala,jbouffard
Tue Dec  6 19:28:49 2016,CroppedWindowedGeoTiffSpec.scala,jbouffard
Tue Dec  6 19:28:49 2016,ByteGeoTiffTile.scala,jbouffard
Tue Dec  6 19:28:49 2016,StreamingSegmentBytes.scala,jbouffard
Tue Dec  6 19:28:49 2016,UByteGeoTiffTile.scala,jbouffard
Thu Dec  8 16:49:26 2016,ByteGeoTiffTile.scala,jbouffard
Thu Dec  8 16:49:26 2016,Float32GeoTiffTile.scala,jbouffard
Thu Dec  8 16:49:26 2016,Float64GeoTiffTile.scala,jbouffard
Thu Dec  8 16:49:26 2016,Int32GeoTiffTile.scala,jbouffard
Thu Dec  8 16:49:26 2016,UByteGeoTiffTile.scala,jbouffard
Thu Dec  8 16:49:26 2016,UInt16GeoTiffTile.scala,jbouffard
Thu Dec  8 16:49:55 2016,CroppedWindowedGeoTiffSpec.scala,jbouffard
Thu Dec  8 19:32:55 2016,GeoTiffTile.scala,jbouffard
Thu Dec  8 19:33:51 2016,ByteGeoTiffTile.scala,jbouffard
Thu Dec  8 19:34:08 2016,UByteGeoTiffTile.scala,jbouffard
Thu Dec  8 19:34:27 2016,Int16GeoTiffTile.scala,jbouffard
Thu Dec  8 19:34:38 2016,Int32GeoTiffTile.scala,jbouffard
Thu Dec  8 19:34:49 2016,UInt32GeoTiffTile.scala,jbouffard
Thu Dec  8 19:35:13 2016,Float32GeoTiffTile.scala,jbouffard
Thu Dec  8 19:35:22 2016,Float64GeoTiffTile.scala,jbouffard
Fri Dec  9 21:19:23 2016,GridIndexTransform.scala,jbouffard
Fri Dec  9 21:19:23 2016,StripedSegmentTransform.scala,jbouffard
Fri Dec  9 21:19:23 2016,TiledSegmentTransform.scala,jbouffard
Fri Dec  9 21:19:23 2016,GeoTiffSegmentLayout.scala,jbouffard
Fri Dec  9 21:19:23 2016,GeoTiffTile.scala,jbouffard
Fri Dec  9 21:34:58 2016,GeoTiffTile.scala,jbouffard
Fri Dec  9 21:35:22 2016,GeoTiffMultibandTile.scala,jbouffard
Fri Dec  9 21:36:03 2016,BitGeoTiffTile.scala,jbouffard
Fri Dec  9 21:36:20 2016,Int16GeoTiffTile.scala,jbouffard
Fri Dec  9 21:36:30 2016,UInt16GeoTiffTile.scala,jbouffard
Fri Dec  9 21:36:43 2016,UInt32GeoTiffTile.scala,jbouffard
Fri Dec  9 22:05:44 2016,GeoTiffSegmentLayout.scala,jbouffard
Fri Dec  9 22:06:11 2016,BitGeoTiffTile.scala,jbouffard
Fri Dec  9 22:06:11 2016,GeoTiffMultibandTile.scala,jbouffard
Fri Dec  9 22:06:11 2016,GeoTiffTile.scala,jbouffard
Fri Dec  9 22:06:11 2016,Int16GeoTiffTile.scala,jbouffard
Fri Dec  9 22:06:11 2016,UInt16GeoTiffTile.scala,jbouffard
Fri Dec  9 22:06:11 2016,UInt32GeoTiffTile.scala,jbouffard
Fri Dec  9 22:22:00 2016,BitGeoTiffTile.scala,jbouffard
Mon Dec 12 17:43:58 2016,ByteReaderExtensions.scala,jbouffard
Mon Dec 12 18:02:25 2016,ByteReaderExtensions.scala,jbouffard
Mon Dec 12 18:03:07 2016,ArraySegmentBytes.scala,jbouffard
Mon Dec 12 18:03:19 2016,LazySegmentBytes.scala,jbouffard
Mon Dec 12 18:03:35 2016,TiffTagsReader.scala,jbouffard
Mon Dec 12 18:04:11 2016,GeoTiffReader.scala,jbouffard
Wed Dec 14 15:27:54 2016,Float32GeoTiffSegmentCollection.scala,jbouffard
Wed Dec 14 15:28:09 2016,Float64GeoTiffSegmentCollection.scala,jbouffard
